Distanza totale percorsa(Km),Velocità media(Km/h),Tempo totale di attesa(s),Emissioni totali di CO2(Kg),Emissione media di CO2(g/Km)
,,-- mappa più grande --,,
,,semaforo base,,
340.7772916665108,38.93306315652056,15998.8,99.60309520858198,292.2820787778749
,,algoritmo base,,
339.5012194940847,41.241085849435734,7222.999999999998,80.55883836848545,237.2858586149764
,,algoritmo con 2° enhancement
340.6260588059964,42.09550919310156,5414.200000000001,79.46110207547905,233.2795745399389

,,-- mappa più piccola --,,
,,semaforo base,,
242.65885976566364,38.892069383471174,14868.50000000001,79.3601415673004,327.0440718461247
,,algoritmo base,,
242.54061639066316,42.08571862990363,3508.5999999999995,62.61686250556757,258.17062493446383

,,-- mappa in modo che il numero di km totali sia uguale allo studio --,,
,,semaforo base,,
221.31073622709926,38.854408256532366,14526.600000000006,74.82359264449505,338.0929182202638
,,algoritmo base,,
221.68513947124134,41.13454133791543,4383.6,62.55194731197338,282.1657214424519
222.58664800989746,41.724307119491385,3535.0000000000023,59.06657871176127,265.3644288184565
221.9055613792414,41.384142783159255,4217.0,61.382464443390944,276.6152594908921
222.78285848486215,41.123997445190675,4416.9000000000015,61.351138873036014,275.38536532964343
,,semaforo base con calcolo emissioni di SUMO,,
221.07049552872925,38.80290352331334,14835.599999999999,101.64648892287254,459.79219741543056
