ID,distanza totale percorsa (Km),tempo totale di percorrenza(s),tempo totale di attesa(s),velocità media(Km/h),emissioni totali di CO2(Kg),emissioni totali di CO(Kg),emissioni totali di HC(Kg),emissioni totali di PMx(Kg),emissioni totali di NOx(Kg),consumo totale di carburante(Kg),emissione totale di rumore(dBA)
Semaforo a ciclo fisso 1,,,,,,,,,,,
vehicle0,0.1929329894167031,15.3,0.0,45.76576041422481,0.04908515548331059,0.0006177332045388203,1.3851220261867593e-05,7.3307366143888305e-06,3.2733570754096634e-05,0.015914117656303184,9915.783107214542
vehicle82,0.1924808321449613,14.900000000000002,0.0,26.76379401384248,0.05088193595790774,7.826970467115183e-06,1.3820227332126619e-06,3.912096440634037e-06,0.0002782585035309378,0.01635174573137119,9710.967045335174
vehicle209,0.19315669813449354,15.400000000000002,0.0,18.582752215839594,0.06130861807700438,8.989218333949849e-06,1.3468326074306629e-06,3.273278235382497e-06,0.0003268280481396496,0.019702865719796445,10089.917931568049
vehicle291,0.2671185304979649,16.0,0.0,19.5896889527899,0.05878003565288619,1.0044426440852712e-06,2.1252060569397246e-06,4.742453904433245e-06,0.0005334166531343742,0.01889063066169997,10757.401195336664
vehicle26,0.18979078250311215,77.6,59.2,5.636364405727574,0.05695964655291248,0.0005411726166162949,1.4249467647912187e-05,6.855772724229519e-06,3.442379466145783e-05,0.018466876712647275,11734.460469155345
vehicle74,0.19276708320633196,68.9,45.3,5.605761072799562,0.07881785908089353,1.4135288077131464e-05,2.1484777185950704e-06,4.145555948557344e-06,0.00040349370221549663,0.0253298331376313,14275.133885105839
vehicle310,0.26643761831863483,60.599999999999994,34.0,7.576342043485682,0.12710640930264144,7.749454957082441e-05,1.8951884550293108e-05,8.630949720713058e-06,0.0001328867914517017,0.040849245214632166,35807.76535468986
vehicle298,0.26451487638700194,53.7,19.7,7.275688625148516,0.10163551993140293,6.0540575788901e-05,1.5022271152149602e-05,6.826143632370995e-06,0.00010927007159568746,0.032663859983749155,31785.508148988727
vehicle220,0.1945262601540389,38.19999999999999,13.2,5.547019078097387,0.07039798972014487,1.5539874381923773e-05,3.0364739351828965e-06,4.292839394048059e-06,0.00022048529079463279,0.02262367743674389,14943.493598798455
vehicle139,0.26859078510800705,33.30000000000001,3.3,7.302935632009669,0.08226432982519337,3.1386009123415816e-05,8.63235334056365e-06,4.796647579120826e-06,0.00016651343723731498,0.026438165443402023,18116.347376249905
vehicle47,0.19376111357465559,19.999999999999986,0.0,5.348542250842497,0.05084615906030141,0.0004250224640348424,2.393555065133443e-06,3.909476968718216e-06,6.489350552504315e-06,0.01648558671827164,12569.023154368231
vehicle70,0.26575579703071994,14.700000000000003,0.0,7.031673622121747,0.06834320205065525,7.203260114880407e-06,1.3292341293191368e-06,4.676783005892477e-06,0.00044039394892295765,0.021963618356780207,10087.395677901055
vehicle91,0.19269021432473182,17.299999999999983,0.0,4.633226603924556,0.04968803206362505,1.3162379358502213e-05,4.978087226809724e-06,1.3336341796961032e-05,0.0002560965289875197,0.015968362974142617,10985.49205251742
vehicle281,0.19282615657564917,13.699999999999989,0.0,4.427565826258457,0.09478746233444799,0.000182737187862181,4.2502783970237267e-05,8.136901006530283e-05,0.0005232619510609559,0.03045808040002426,9090.282808089709
