VehicleID;Distanza percorsa (m);Tempo di percorrenza (s);Tempo di attesa (s);Velocita media (m/s);Emissioni di CO2 (g);Emissioni di CO (g);Emissioni di HC (g);Emissioni di PMx (g);Emissioni di NOx (g);Consumo di carburante (g);Consumo elettrico (Wh);Emissione di rumore (dBA)
vehicle0;1259.809176364172;119.0;15.0;10.586631734152705;312.6488169960838;2.9043886580185867;0.20471999783363995;0.03566219626335772;0.5235656877342476;101.35577672383455;0.0;6572.7870356368485
vehicle1;1275.737506870753;99.0;2.0;12.886237443138919;242.59112114615104;0.03934300026676648;0.008330840982167532;0.02574554145660933;1.3958434564197213;77.95892505897235;0.0;6365.758984726601
vehicle2;1263.8912022440072;144.0;50.0;8.777022237805605;297.8584756831883;0.14747409883074195;0.03319170548889194;0.02818564736903344;0.7179054160388745;95.72093667383365;0.0;8873.963665513857
vehicle3;1262.5324665960889;116.0;29.0;10.883900574104214;217.17085129196963;1.7189519923713372;0.011603808177065295;0.028221988345966748;0.07881685838060873;70.40382471568947;0.0;5639.279693426099
vehicle4;1248.5853616373952;100.0;3.0;12.485853616373952;207.84583754026625;0.6784808141116854;0.006882506667864331;0.02645116241296551;0.058494702160882525;67.38147640115996;0.0;6187.9347680545525
vehicle5;1276.1286192965797;137.0;40.0;9.31480744012102;268.35629409855454;3.4772322103257065;0.07644757431130468;0.04421984730999571;0.19248282727675411;87.00580124254915;0.0;6274.140234360997
vehicle6;1274.775257199537;140.0;20.0;9.105537551425265;255.07036230466252;0.8854195441368087;0.005960581835669971;0.027514544645629;0.0917758035943324;82.69127925624211;0.0;8617.941133755405
vehicle7;1273.4629192984871;91.0;0.0;13.99409801426909;285.46624055683304;0.06311717740280795;0.02639147055513044;0.0813288306179028;1.639537979556508;91.74271416480002;0.0;5941.111486186019
vehicle8;1260.4204433185205;104.0;6.0;12.119427339601158;247.99020543516394;0.09953517947170555;0.026072409505518094;0.025199798841099158;0.5547376538137063;79.69704385890972;0.0;6306.357752701328
vehicle9;1250.4869575833143;87.0;0.0;14.373413305555337;185.0151202823583;1.9364013171649195;0.011444133928285976;0.028745189995003088;0.028823729009570222;59.88905322929478;0.0;5687.578225689709
vehicle10;1271.5456136276862;103.0;0.0;12.345103044928992;230.3772138568236;0.7939586965919514;0.007716021136812033;0.025106437716119485;0.06392405636097434;74.68429438710936;0.0;6597.874758976894
vehicle11;1252.492358568914;100.0;0.0;12.52492358568914;216.6382950839641;1.9803983330623869;0.02152368484522024;0.03057357499757825;0.05471234792951567;70.23043925629021;0.0;6395.684900920275
vehicle12;1273.446372988263;84.0;0.0;15.160075868907892;206.56587066224188;1.8169273301991646;0.13755882367785036;0.03437989721881024;0.38378000099362086;66.97316235651;0.0;5521.241032818387
vehicle13;1249.5794993069035;89.0;0.0;14.040219093335994;182.04089537213596;0.5672993898555635;0.07095250191257822;0.03443834590774363;0.08658795465399437;58.586359440066026;0.0;5805.449308090901
vehicle14;1265.2702650659571;96.0;0.0;13.179898594437054;214.7018232578907;0.03553420987975645;0.008294154903640645;0.02711466855201834;1.2612035136570199;68.99531196932112;0.0;6184.194193472294
vehicle15;1262.4451221449863;120.0;19.0;10.520376017874886;257.9905414987148;0.08116005153824354;0.032750958808376564;0.0834000351628951;1.4273465647288819;82.91117662816357;0.0;7520.339575891106
vehicle16;1269.5859380892546;120.0;11.0;10.579882817410455;284.75460855189544;0.11774637843191386;0.030011615348304176;0.024090004440011824;0.6257654769502942;91.51224148871272;0.0;7531.428967861612
vehicle17;1262.7554502042199;92.0;0.0;13.725602719611086;255.2960418400505;3.6935372439308516;0.020964325505298496;0.02352545140350298;0.02889358092056991;82.77267360231478;0.0;5952.808674054967
vehicle18;1261.0053572542647;136.0;25.0;9.272098215104888;322.9588380408326;0.05677005789686603;0.011693255368197144;0.02456366466396735;1.8566836881915907;103.78666051944536;0.0;8434.066569532228
vehicle19;1266.823169701784;92.0;0.0;13.769817061975914;288.2694002688094;0.0655011095761376;0.026941442140544832;0.08187141947537843;1.6325652456840347;92.64351944257653;0.0;5992.521846854178
vehicle20;1270.2768297625394;170.0;58.0;7.472216645661996;322.1326921741048;1.213210090239022;0.008123610635371023;0.026408447832057178;0.11801067061626315;104.43221490658735;0.0;10312.095940883439
vehicle21;1261.7172882878951;94.0;4.0;13.422524343488247;323.3278263490382;2.8661030457886545;0.019043297051778964;0.028736173275452342;0.11800160720268886;104.81803876181544;0.0;6142.3171211618765
vehicle22;1254.0099012912483;85.0;0.0;14.75305766224998;190.21928440134772;1.9209477414659608;0.011396900023467722;0.029879536049972157;0.026946513075890292;61.6752345781411;0.0;5569.561854507097
vehicle23;1247.6261503835917;84.0;0.0;14.85269226647133;235.08456530506066;0.0857253992225256;0.02400291082374316;0.022491576946124244;0.5723576369626157;75.55051657250503;0.0;5519.700368866764
vehicle24;1263.512419626224;97.0;0.0;13.025901233260042;236.93822976074253;0.04502367072066074;0.011613973313540438;0.071521058132197;0.8962913058248617;76.15048402988734;0.0;6236.40248042456
vehicle25;1267.2687633332828;105.0;0.0;12.069226317459837;253.07410426143073;2.9137873674922727;0.01650697670882361;0.023617362509684606;0.030844415552856455;82.05271635039433;0.0;6722.5350294123045
vehicle26;1269.7174152989007;105.0;14.0;12.092546812370482;291.96136906046524;0.048152398884761555;0.011962150673743543;0.07779660329537957;1.1942596454508732;93.83153441422576;0.0;5832.368220914536
vehicle27;1261.876007482786;113.0;13.0;11.167044314006956;256.4923287838091;0.5541356479808668;0.06930499790002353;0.03337321874078238;0.286349815752782;82.5389961942295;0.0;7155.203069757723
vehicle28;1259.7865279177777;101.0;10.0;12.473133939779977;256.5914633113448;1.9582169155986746;0.013112460008159191;0.027053255358587974;0.09382861991387823;83.18346379249759;0.0;6484.340688786218
vehicle29;1251.7210512673691;91.0;2.0;13.755176387553506;220.56704770733785;1.5301748267092337;0.01030468724534966;0.028315354683739295;0.0801521048051214;71.50512485661187;0.0;5910.3077109184305
vehicle30;1253.6703661989384;85.0;3.0;14.749063131752216;241.64314300900105;0.09598142125369873;0.025432627050458855;0.02757709071790548;0.5862208096655368;77.65701717961207;0.0;5581.095089866662
vehicle31;1271.222167048313;104.0;9.0;12.22329006777224;261.044600484516;0.1095772048685048;0.02788831018956989;0.0271109082947595;0.5949516933576832;83.8919625626927;0.0;6650.399928593932
vehicle32;1275.0715769258443;140.0;48.0;9.107654120898887;309.20869011017146;0.07109674899153805;0.018075788523207566;0.09129344375836314;1.201425790805448;99.37918439274003;0.0;8657.806633331487
vehicle33;1256.5880813066606;121.0;14.0;10.385025465344302;230.98781103155267;1.5659902015895395;0.14895307174442798;0.030086892260260758;0.3955150373399482;74.88671860643508;0.0;6784.690946246258
vehicle34;1264.4169207875507;87.0;0.0;14.53352782514426;265.7147158729846;0.0967126200503133;0.02710220643966718;0.02429726520956904;0.6377286651114386;85.39447627835897;0.0;5711.268674247746
vehicle35;1260.0462308942933;111.0;15.0;11.351767845894534;276.0368784871185;1.831477994515217;0.012237482865240948;0.027776805502102726;0.10032331257573966;89.48768694462174;0.0;7044.892824887757
vehicle36;1265.6721177532686;82.0;0.0;15.435025826259373;272.4156864870972;2.956474348968726;0.18467432468523975;0.038682942075357746;0.4880783287708977;88.31865327372351;0.0;5438.425336865269
vehicle37;1261.7773354645542;104.0;13.0;12.132474379466867;264.33811486588405;0.043206564929617455;0.009570183617040458;0.027268426209954122;1.5890417633454499;84.94751401637211;0.0;6649.511286463698
