VehicleID;Distanza percorsa (m);Tempo di percorrenza (s);Tempo di attesa (s);Velocita media (m/s);Emissioni di CO2 (g);Emissioni di CO (g);Emissioni di HC (g);Emissioni di PMx (g);Emissioni di NOx (g);Consumo di carburante (g);Consumo elettrico (Wh);Emissione di rumore (dBA)
vehicle0;1268.4969685515393;211.0;101.0;6.011833974177912;324.4125474734151;2.8230271645965037;0.21137972574406635;0.03591408335738451;0.5406639464335532;105.16999690597763;0.0;7012.939664474191
vehicle1;1264.7392759202241;167.0;70.0;7.573289077366612;335.28951005102886;0.06677477516429375;0.015769614824444295;0.027003889568456153;2.126483536104612;107.74781580325848;0.0;10166.90366119049
vehicle2;1263.420192451591;151.0;50.0;8.367021142063516;308.52081462344336;0.15270268767102685;0.03454551351418726;0.02720355416402637;0.7283929123066637;99.14790487964251;0.0;9260.75204811288
vehicle3;1264.0514372992886;170.0;62.0;7.4355966899958155;251.0490025314734;1.617213002631422;0.010856092971403155;0.02683572405041918;0.08742073778583272;81.38646178935551;0.0;6711.181326376514
vehicle4;1251.7931942635637;248.0;152.0;5.04755320267566;205.64216476141527;0.6319740763463898;0.006631850003737826;0.027357959273253508;0.05833712194016425;66.66776939732152;0.0;6198.00643547543
vehicle5;1267.187321491183;90.0;0.0;14.07985912767981;241.85455494857723;3.3708371654449816;0.07094137965973446;0.04309084651340626;0.18205395953100584;78.41396368745079;0.0;5867.210420394497
vehicle6;1271.232200150922;115.0;0.0;11.054193044790626;213.55650092056368;0.8897461389503274;0.005988532069725345;0.02706081168244446;0.07561182968283407;69.23272647662074;0.0;7218.701936855585
vehicle7;1267.7937283308029;149.0;52.0;8.508682740475187;319.0057282744329;0.07288745992664632;0.029299214431408278;0.0866219588699571;1.798764452731545;102.52106739946599;0.0;6287.148560834938
vehicle8;1268.4414030485082;92.0;0.0;13.787406554875089;211.63933667434503;0.0875934228426564;0.02247915351030969;0.025491835211052333;0.49024710037804775;68.01419901943616;0.0;5963.074292782936
vehicle9;1252.6307031491692;92.0;0.0;13.615551121186622;207.5681935766019;2.3703700602509907;0.013755588836266302;0.026869026454819832;0.030344869399644862;67.19098560725466;0.0;5976.847479836465
