VehicleID;Distanza percorsa (m);Tempo di percorrenza (s);Tempo di attesa (s);Velocita media (m/s);Emissioni di CO2 (g);Emissioni di CO (g);Emissioni di HC (g);Emissioni di PMx (g);Emissioni di NOx (g);Consumo di carburante (g);Consumo elettrico (Wh);Emissione di rumore (dBA)
vehicle0;1858.7058342180799;175.0;28.0;10.621176195531884;457.50528448573476;3.3611608967817457;0.022466930390851615;0.0454909581774083;0.16064407530789124;148.316535917472;0.0;9501.633084455112
vehicle1;2020.4551011035046;231.0;36.0;8.74655887923595;568.5114764991268;0.10429081244123682;0.019765888263691137;0.04932304524843414;3.047271237470301;182.69820778459595;0.0;12148.92011444315
vehicle2;1223.4724952307981;118.0;15.0;10.368410976532187;291.23516265702415;1.064166791157819;0.009898209019799554;0.022470264027846288;0.08118909496813673;94.41131332167785;0.0;7439.31098552697
vehicle3;1564.6397151242163;167.0;28.0;9.369100090564169;358.59827879412614;3.6586978505569774;0.03630625556095778;0.03830341857980987;0.07815426760646885;116.24804023833752;0.0;8691.990794753578
vehicle4;1356.4879852389101;121.0;1.0;11.210644506106695;366.9462257780006;0.1332876952921758;0.037454427300818015;0.025439594341387504;0.76091562490657;117.92878835985954;0.0;7683.184229678985
vehicle5;747.5462069792442;99.0;19.0;7.550971787669133;194.31350821292114;0.834048287710042;0.005560152132960984;0.01751113743549288;0.0643172810265003;62.993725937666376;0.0;4925.444682927187
vehicle6;1057.9399976437899;114.0;13.0;9.280175417927982;272.37817281344866;0.8319594673959;0.00830191955613303;0.021211260491850903;0.07761205838663543;88.29964634391746;0.0;7093.826573324649
vehicle7;737.9270680471042;88.0;8.0;8.385534864171639;181.9383901776747;0.7929052759765333;0.005273793866369637;0.015345093286734645;0.06064654277484439;58.9819821327309;0.0;4960.240702920444
vehicle8;1073.2545807010247;71.0;0.0;15.116261700014432;186.02317917519343;0.028227195697204742;0.006852884915749049;0.02576089054429069;1.1305774187609279;59.77928579985984;0.0;4673.194204997462
vehicle9;1399.3818902632456;152.0;24.0;9.206459804363458;405.9164098163223;0.08775346729043693;0.0200315066316409;0.1069559961623046;1.4044551785930026;130.45494434194435;0.0;9434.569418066296
vehicle10;1080.3526301168467;101.0;3.0;10.696560694226205;299.1518636725469;1.8652121090939573;0.012439656052901812;0.027064588500857387;0.10118834522668749;96.98052030083056;0.0;6161.225121290234
