VehicleID;Distanza percorsa (m);Tempo di percorrenza (s);Tempo di attesa (s);Velocità media (m/s);Emissioni di CO2 (g);Emissioni di CO (g);Emissioni di HC (g);Emissioni di PMx (g);Emissioni di NOx (g);Consumo di carburante (g);Consumo elettrico (Wh);Emissione di rumore (dBA)
vehicle291;205.63643214052468;26.90000000000009;3.7;0.12266499186912022;60.40656559852031;0.23201692391375395;0.0019982973910918946;0.0031696680128365626;0.018475047098433867;19.554553541547467;0.0;13884.509938141957
vehicle292;190.29951316685344;17.700000000000045;0.0;0.553765397030126;62.147567359572705;0.02134929113910294;0.006261563996947589;0.0033251069030142393;0.12346588797387162;19.973162093087847;0.0;11341.973231409629
vehicle293;191.74786860853618;20.700000000000003;0.0;3.121322923485632;46.814631706200515;0.1914709987848048;0.0012719293221947862;0.0038656206051802234;0.015386614915097891;15.176663322783096;0.0;12899.104008899545
vehicle294;202.70393236534701;13.699999999999932;0.0;0.22922332093220538;64.19847377104483;1.221951852610294;0.020156741211871027;0.009969807596817386;0.041285340398671655;20.813844828230607;0.0;9250.695697408906
vehicle295;267.07167066043337;69.90000000000009;46.7;0.10062351520294105;146.78724468030876;0.6110339901895637;0.10094067587764309;0.007541776821066807;0.22828730212116957;47.59174026242861;0.0;41045.056341379786
vehicle296;206.02853961002876;15.400000000000091;0.0;0.29661715356218665;50.93174654007236;0.41222615767228055;0.0027395145311127867;0.004512413171450789;0.01808610761448932;16.51131539302461;0.0;10099.176534556347
vehicle297;192.21922530673748;16.5;0.0;0.16609143088424305;39.44491104987896;0.13859129448942153;0.0012912732562055907;0.0035307979355494678;0.011124253432147284;12.787072472531534;0.0;10516.171143657471
vehicle298;192.61782507379957;29.90000000000009;3.5;0.14490215703756687;55.21093344018763;0.12895780217672173;0.001369345637127741;0.003732033215159557;0.01756386219065741;17.89841259389614;0.0;15423.545245980562
vehicle299;191.85069100164858;15.400000000000091;0.0;0.05967076874514691;51.582936259062656;0.6614753327454743;0.0037378423108523264;0.004143044636704069;0.006557209492846947;16.69837798206514;0.0;10109.177498303357
vehicle300;265.9009010630655;34.099999999999994;11.7;1.307175902138719;94.18442787588708;1.5032864812287006;0.02628992576802154;0.013744197853989944;0.061867056280310154;30.535747578030627;0.0;14401.260691207995
vehicle301;266.2774500364327;27.299999999999955;0.9;0.1716584315945636;77.04019892884388;0.7488861047365905;0.004212186428114474;0.004710071143158452;0.010128746454583426;24.938835793185564;0.0;17432.657800382953
vehicle302;193.01580975165794;18.899999999999977;0.0;0.7171756789955042;53.20355612436371;0.009313822976644008;0.0016424004700574242;0.0038145156755612407;0.2780627477805492;17.097775001328593;0.0;11887.010456432636
