VehicleID;Distanza percorsa (m);Tempo di percorrenza (s);Tempo di attesa (s);Velocità media (m/s);Emissioni di CO2 (g);Emissioni di CO (g);Emissioni di HC (g);Emissioni di PMx (g);Emissioni di NOx (g);Consumo di carburante (g);Consumo elettrico (Wh);Emissione di rumore (dBA)
vehicle0;266.2732560506809;27.399999999999977;2.3;0.29689657958943677;78.22983219182456;0.6890795542703988;0.003918411909329166;0.006413426159991119;0.01044500921269746;25.3640706251349;0.0;17319.639993810364
vehicle1;206.5928196131644;53.90000000000009;30.3;0.08313868225467118;59.554328616429764;0.20927291471957415;0.001845081395133652;0.0033201655935989212;0.017885424213234708;19.305550929310098;0.0;14060.587751300756
vehicle2;267.0113664504665;18.40000000000009;0.0;0.1850819709823459;82.82800858196089;0.01200528046675192;0.0026687668700521878;0.017980596984484835;0.33705566187843483;26.618233746680577;0.0;12323.868987259058
vehicle3;265.25382393891164;21.299999999999955;0.0;0.2035030366723087;69.39138587195959;0.011453139414742877;0.002148126519065546;0.006051453524246783;0.377133123019034;22.299845980961653;0.0;13806.356055580305
vehicle4;266.76669152429616;16.5;0.0;0.4390784115752414;38.1012182538412;0.32372330634800073;0.002180553063242131;0.005319116854281229;0.014239756726671212;12.35192646828617;0.0;10960.298781717775
vehicle5;266.8680926907581;22.09999999999991;0.0;0.08177393554087448;68.48919534717167;0.01711232570180877;0.006599203844171341;0.018220116652140794;0.3566677399840227;22.010538378904474;0.0;14251.240646603954
vehicle6;265.4562610297319;16.200000000000045;0.0;0.17388074411407073;47.934472988926665;0.01768952444672879;0.004915643574190823;0.005075450770386489;0.12269007169163437;15.40491207058801;0.0;10798.668746762953
vehicle7;263.3457834123113;21.099999999999994;0.0;1.196827553658061;55.608829678197196;0.34488107309414223;0.002303447306104935;0.006183959005927128;0.019771421990629572;18.027680067103834;0.0;13600.985625379783
vehicle8;265.90039475211523;31.799999999999955;6.9;0.2521592909054688;65.24378798502455;0.5357036809513044;0.003068834736837213;0.006103355328961335;0.008843977226894362;21.15373487771347;0.0;15734.052869261568
vehicle9;265.3699116394333;23.59999999999991;0.3;0.13209679059165758;84.0728589576003;0.030104240046970737;0.00866439365776192;0.005116615686112592;0.16710127872157648;27.019503746447118;0.0;15185.836764530352
vehicle10;203.4034438780927;25.59999999999991;8.1;0.09709971171431812;84.50021989659861;0.01437974297223425;0.002639510249359137;0.016826416601454102;0.29644577025002816;27.15491863691147;0.0;11454.559307216798
vehicle11;191.19536130862514;37.80000000000018;17.3;0.05841020299811757;57.19174950874129;0.338287831052676;0.03660583085225339;0.00540009562785843;0.08851768567084656;18.541569469327964;0.0;12701.635697733851
vehicle12;265.3839084993761;15.900000000000091;0.0;0.1104555557978856;39.37708166410678;0.3363062032181296;0.0022730490627929554;0.005910398205644214;0.014792122426552314;12.765559942906822;0.0;10609.411214474349
vehicle13;267.2904934818882;20.90000000000009;0.0;0.13767996388783307;60.38934590929458;0.022572036448187796;0.006203581737944493;0.005029906979880221;0.12938438316343262;19.407700246145723;0.0;13545.230324515216
vehicle14;206.9256527746188;16.300000000000182;0.0;0.1336175213854087;51.34221605791411;0.3965438515520615;0.0026287276456041443;0.004153749769355868;0.018052223247340897;16.644373255440975;0.0;10593.8619719453
vehicle15;266.2307025302136;38.700000000000045;16.7;0.3620459978842791;117.74516607341963;0.048021802584972156;0.012422013710390633;0.004633629467625476;0.255214553359724;37.840893637516736;0.0;23799.55182061881
vehicle16;205.2109356939269;37.5;16.8;0.07226698093882226;64.97220447973226;0.025771184956184138;0.006954825206337381;0.0044050702399430815;0.12231342636637516;20.880685162072112;0.0;12994.211611733957
vehicle17;266.95572140156116;19.199999999999818;0.0;0.08163739696645542;36.29743260113388;0.10676785076308673;0.0011931728298375768;0.005897152444440431;0.010060344273059373;11.767713444121812;0.0;12426.271605065169
vehicle18;267.38234241495724;23.799999999999955;0.0;0.16434495103502741;47.138310551583764;0.23469229841372272;0.0015702210488569995;0.005179692284570802;0.01744626553265334;15.256234828458838;0.0;15050.166067590188
vehicle19;205.5800327958383;15.5;0.0;0.1377213645686059;31.769997521478608;0.36369353666358334;0.0020900646271239747;0.003686144682989859;0.004523501054254349;10.284236211291732;0.0;10030.111340790076
vehicle20;266.716124463872;17.200000000000045;0.0;0.3335909971965168;46.65458624105327;0.7512179657183488;0.006713409992464793;0.005752319308417282;0.011122328596118138;15.123390462341277;0.0;11395.19279463665
vehicle21;265.3859299711804;16.40000000000009;0.0;0.0793984991632219;38.886115588918464;0.17732173002821489;0.0016157657862929885;0.00545837120119312;0.009996265424156308;12.606217056536586;0.0;10915.867634810156
vehicle22;267.5871730892495;24.0;1.4;0.19996668373792492;79.41730036734775;1.0076478200537011;0.009181200808044989;0.006980977369621993;0.01609483512232671;25.74412009388113;0.0;15412.31575215992
vehicle23;0;0;0;0;0;0;0;0;0;0;0;0
vehicle24;203.9453327757026;14.799999999999955;0.0;0.12150395456008385;52.220309780584415;0.11521156967227146;0.018614275038587213;0.030830364114806268;0.17545478649596408;16.782192497248165;0.0;9701.288013985293
vehicle25;193.10371830901212;16.699999999999818;0.0;0.0645659206209536;62.071070761951994;0.5304296537041585;0.040026829257367745;0.006356855384418936;0.1009444735956492;20.122405788840094;0.0;10769.668806133772
vehicle26;263.85916148603656;17.5;0.0;0.10010421275122416;52.04958614367343;0.007414211644474649;0.0015958406035466817;0.005514839135128023;0.3100593902282284;16.726697042726034;0.0;11573.07138835182
vehicle27;267.3458340137781;13.5;0.0;0.13850496294096493;50.55690579684771;0.019707649284235223;0.004715966187723462;0.02151701743074325;0.2205332268834311;16.247707539678277;0.0;9290.07583511941
vehicle28;0;0;0;0;0;0;0;0;0;0;0;0
vehicle29;192.4075703277071;19.700000000000045;0.0;0.11930616602830788;49.20046649741221;0.19141635699562395;0.0016558312371530869;0.0027307467157603326;0.013914434269301657;15.949011920859549;0.0;12372.575697825765
vehicle30;265.10930333557747;18.59999999999991;0.0;0.11158692389112171;46.08069707010682;0.36272411904446644;0.030280522924229555;0.0071949476243140815;0.08334748306599672;14.940251708897526;0.0;12129.663698118202
vehicle31;266.5212177465799;18.59999999999991;0.0;0.11064277173550237;49.120909511597155;0.012361575438324184;0.005173870771253;0.015645709958856585;0.27800107096757354;15.786490802378449;0.0;12133.287077839997
vehicle32;204.5693426635094;13.800000000000182;0.0;0.06330200979259945;0.0;0.0;0.0;0.004106717083042262;0.0;0.0;53.70423683177509;9101.43798669501
vehicle33;266.97458976225425;18.299999999999955;0.0;0.2189127191560226;51.82563826172395;0.012039531311462995;0.005041123354050174;0.0154964174935764;0.29601336428096464;16.655703857677295;0.0;11989.439530433661
vehicle34;266.54686445065033;27.09999999999991;4.2;0.09974178779732969;87.7922151223452;0.7001944214452462;0.056819248844235094;0.007727924570846079;0.13910661326679105;28.4615181849748;0.0;17158.859693952836
